,risk_tolerance,investment_experience,liquidity_needs,platform,time_spent,instrument_type_first_traded,first_deposit_amount,time_horizon,user_id,churn_flag,deposit_per_time,equity_volatility,avg_rolling_5day_avg,sd_rolling_5day_avg,avg_rolling_5day_sum,sd_rolling_5day_sum,avg_equity_growth_rate,equity_volatility_growth_rate,ndays_above10,avg_equity,equity_delta_start_to_end,ndays_from_2017_08_18,max_streak_duration
0,high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,33.1294166667,stock,40.0,med_time_horizon,895044c23edc821881e87da749c01034,0,1.1720094835089259,10.739413536491162,206.2205789473684,1515.2405979121882,1031.102894736842,7576.20298956094,0.005818176134234499,0.07845378436306896,190,77.11852631578948,42.6,0,52
1,med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,16.5735166667,stock,200.0,short_time_horizon,458b1d95441ced242949deefe8e4b638,0,11.380761391883466,26.057861646968213,350.60445616,32.99474588642871,1753.0222808,164.97372943214356,0.0007152091822775134,0.008134107786103639,252,351.4114682539683,60.18000000000001,1,79
2,med_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,10.0083666667,stock,25.0,long_time_horizon,c7936f653d293479e034865db9bb932f,0,2.270999936405125,0.0,63.7273088,210.15242570097746,318.636544,1050.7621285048874,0.0,0.0,252,49.24,0.0,1,79
3,med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,1.03163333333,stock,100.0,short_time_horizon,b255d4bd6c9ba194d3a350b3e76c6393,0,49.22148025406359,11.96771019222764,227.470400979021,386.2318620949922,1137.3520048951048,1931.1593104749609,0.006780037757008033,0.08815628179971782,143,186.0402797202797,88.25,0,52
4,high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,8.18725,stock,20.0,long_time_horizon,4a168225e89375b8de605cbc0977ae91,0,2.176929984489374,146.78995491823727,234.27456573705177,286.83774780644274,1171.372828685259,1434.1887390322138,0.008798693420486012,0.10794225974747516,252,208.75336507936507,103.75999999999999,0,79
5,med_risk_tolerance,no_investment_exp,not_important_liq_need,iOS,12.9681166667,stock,100.0,med_time_horizon,0322b1d744cc89ebbe6ebe70d824d922,0,7.159161280375047,262.03625063614476,817.2155090566038,1644.9407331689083,4086.0775452830185,8224.703665844541,0.04170617581969167,0.25148423042473383,53,413.5833867924528,132.87,163,28
6,low_risk_tolerance,good_investment_exp,very_important_liq_need,Android,30.7100833333,stock,5.0,long_time_horizon,f4cac8c1544b723ddedc9bdba81c64c0,1,0.15767855124963687,358.65448388382134,402.5220674107143,579.8587207638404,2012.6103370535714,2899.2936038192024,0.0748358081617247,0.836463191431276,225,364.78431422222224,-90.05,0,79
7,high_risk_tolerance,good_investment_exp,somewhat_important_liq_need,iOS,0.0,stock,100.0,short_time_horizon,bdc39d2fc664ef9a5e6713168057f892,0,100.0,145.57642717209816,1090.9988915789475,144.12372541704931,5454.994457894737,720.6186270852467,0.4503760390445397,4.760889863189967,114,1073.4191666666668,1128.34,2,43
8,high_risk_tolerance,good_investment_exp,very_important_liq_need,iOS,0.0,stock,5000.0,short_time_horizon,85f2f0f54411b4f3e7a403ba902e7280,0,5000.0,394.17020284742586,7480.750025381526,556.410433654468,37403.75012690763,2782.05216827234,0.00042546745703502854,0.04721402377679578,252,7506.529007936509,-1076.8449999999993,2,79
9,med_risk_tolerance,no_investment_exp,very_important_liq_need,Android,2.96961666667,stock,11.0,med_time_horizon,529ddd19dac72d55cde8e633340a9aed,0,2.771048421969568,48.61823965069533,119.0024258227848,352.427746365041,595.0121291139241,1762.1387318252052,0.019245217504777982,0.18135539211517337,158,84.20300632911393,19.06,17,52
10,med_risk_tolerance,no_investment_exp,very_important_liq_need,both,9.4436,stock,50.0,short_time_horizon,bf7d43376fee932d78537347beb07e36,0,4.787621126814509,119.82611953602452,329.59450557768923,403.76745624335587,1647.9725278884462,2018.8372812167795,0.0020326099532384594,0.10408901577334752,252,303.80250357142853,-72.14999999999999,0,79
11,high_risk_tolerance,good_investment_exp,very_important_liq_need,Android,3.35893333333,etp,1000.0,long_time_horizon,56bea929bcaeae73d3737a42c02bfc3c,0,229.4139238959297,827.2982107543734,4082.0938045112784,956.0738743465402,20410.46902255639,4780.369371732701,0.028618028625948044,0.32528791196836,133,4085.472624060151,3764.5800000000004,0,52
12,high_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,74.3467666667,stock,200.0,short_time_horizon,b63f1ab8005b313815f116ea99ae1864,0,2.6543939288690312,43.490417638258315,447.5398830769231,552.9899746274887,2237.6994153846153,2764.9498731374424,0.008744828567297571,0.11691984781095346,78,381.5745,76.1865,93,52
13,high_risk_tolerance,no_investment_exp,somewhat_important_liq_need,iOS,0.987966666667,stock,3000.0,med_time_horizon,3bc30bf7afa2a7ef04bb7d8f9742d752,0,1509.0796291015092,1177.5868193419021,3958.0215075376886,1238.835789244768,19790.10753768844,6194.17894622384,0.00399366380224891,0.03850286237546994,199,4026.5827638190954,2892.12,0,52
14,med_risk_tolerance,no_investment_exp,very_important_liq_need,Android,4.52153333333,adr,5000.0,long_time_horizon,51a4ce44d4bc392a4a2db226308e8d0b,0,905.5455610162066,1255.2416423201848,5693.962591895425,1509.2397311125615,28469.812959477124,7546.198655562806,0.0034785833067920873,0.039773309322649136,153,5854.872937254902,2731.66,0,52
15,high_risk_tolerance,no_investment_exp,very_important_liq_need,iOS,4.55301666667,wrt,10.0,med_time_horizon,064ecf3e3a66c362fa52807411ced374,0,1.8008229760989969,33.158845479651184,187.19963330097087,1813.918500992203,935.9981665048543,9069.592504961016,0.015803913484548796,0.22092280361498126,206,53.55377427184466,-1.0686,1,52
16,high_risk_tolerance,no_investment_exp,very_important_liq_need,iOS,0.0,stock,40.0,short_time_horizon,50cf51b304d3dd9796063cf7b8221ada,0,40.0,3.095664215128036,21.986855341365462,3.1220664185321376,109.93427670682732,15.610332092660688,0.0004543219782406444,0.02665317408690873,252,22.02513888888889,0.5199999999999996,2,79
17,high_risk_tolerance,no_investment_exp,very_important_liq_need,Android,19.8825,stock,100.0,short_time_horizon,385e0cebee45e07eb97304f03a093529,0,4.788698671136118,2.575814385967617,163.85226206896553,649.3091272139369,819.2613103448276,3246.5456360696844,0.00035543163730083495,0.006625443690333978,145,103.47062068965518,4.920000000000002,0,52
18,high_risk_tolerance,good_investment_exp,very_important_liq_need,iOS,0.0,stock,150.0,short_time_horizon,bb70182208e73de1dccc347d098b4292,0,150.0,290.9672041540795,3283.389469879518,350.36610069763225,16416.94734939759,1751.8305034881614,0.0007049842294640648,0.011502805930690972,252,3298.741384920635,553.1000000000004,2,79
19,low_risk_tolerance,no_investment_exp,very_important_liq_need,both,0.0,stock,50.0,med_time_horizon,44daa41022383125d36277779c8e8f85,0,50.0,25.359776907442072,28.056313253012046,36.029170930548425,140.28156626506023,180.14585465274214,-0.0004794286309492136,0.06420729772804994,252,27.374960317460317,-138.038,2,79
20,high_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,0.493266666667,etp,500.0,med_time_horizon,d2723168844432c5186a702aae7e58fa,0,334.8363766238817,678.6685175160295,1763.4472560000002,690.9385914920822,8817.23628,3454.692957460411,0.021846050730867914,0.37814066337253305,252,1741.6676587301588,1272.94,1,79
21,high_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,8.54966666667,stock,10.0,short_time_horizon,3d8664d2b058d4796589a4dbedcc1a48,1,1.0471569688292621,0.6880235626519108,44.77451714285714,133.4562408413911,223.87258571428572,667.2812042069554,0.00412902619822351,0.03586126794545592,42,10.971666666666668,1.5749999999999993,0,34
22,high_risk_tolerance,no_investment_exp,very_important_liq_need,iOS,0.0,stock,1000.0,short_time_horizon,72332b7f69aa4e58ae7b3d3737d79b41,0,1000.0,232.25461067894545,804.3591885258965,282.5457324355078,4021.795942629482,1412.7286621775393,-0.002318015981720912,0.030921672276101195,252,796.049892063492,-657.1831999999999,0,79
23,med_risk_tolerance,limited_investment_exp,very_important_liq_need,Android,18.1116166667,stock,200.0,short_time_horizon,62b104513b4eb94f9464b6da36d00c46,0,10.464839447542873,793.9103584392558,1787.17128832,777.1419269316522,8935.8564416,3885.7096346582607,0.01469472787403406,0.146631216401719,252,1791.2269555555556,2439.7999999999997,1,79
24,high_risk_tolerance,limited_investment_exp,very_important_liq_need,iOS,0.0,stock,250.0,long_time_horizon,a78ceddff542a102b31cff689a618d86,0,250.0,277.78283978743065,1004.8502270916335,324.94940419433055,5024.251135458167,1624.747020971653,0.004448950916356544,0.03370291238589896,252,996.452130952381,902.03,0,79
